,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-09-17,0.0020537113089582767,-0.014309909556688465,0.01734479194755075,0.0020537113089582767,0.0020537113089582767,-0.0019032897844788459,-0.0019032897844788459,-0.0019032897844788459,-0.0003501327213996148,-0.0003501327213996148,-0.0003501327213996148,-0.001553157063079231,-0.001553157063079231,-0.001553157063079231,0.0,0.0,0.0,0.00015042152447943078
1,2014-09-18,0.0020376460392086022,-0.01623452101588693,0.015622852100438844,0.0020376460392086022,0.0020376460392086022,-0.0017582935858068542,-0.0017582935858068542,-0.0017582935858068542,-0.00010746332920248317,-0.00010746332920248317,-0.00010746332920248317,-0.001650830256604371,-0.001650830256604371,-0.001650830256604371,0.0,0.0,0.0,0.0002793524534017481
2,2014-09-19,0.002021580769458927,-0.015322109388642665,0.016605591239908363,0.002021580769458927,0.002021580769458927,-0.0011868448618398313,-0.0011868448618398313,-0.0011868448618398313,0.0005704791033616109,0.0005704791033616109,0.0005704791033616109,-0.001757323965201442,-0.001757323965201442,-0.001757323965201442,0.0,0.0,0.0,0.0008347359076190956
3,2014-09-20,0.0020055154997092525,-0.01505831145551698,0.016524775156215865,0.0020055154997092525,0.0020055154997092525,-0.001606723409743528,-0.001606723409743528,-0.001606723409743528,0.00026249211837442156,0.00026249211837442156,0.00026249211837442156,-0.0018692155281179494,-0.0018692155281179494,-0.0018692155281179494,0.0,0.0,0.0,0.00039879208996572457
4,2014-09-21,0.0019894502299595777,-0.016049895924611656,0.016177546712017668,0.0019894502299595777,0.0019894502299595777,-0.001634058533248979,-0.001634058533248979,-0.001634058533248979,0.00034884923000102336,0.00034884923000102336,0.00034884923000102336,-0.0019829077632500026,-0.0019829077632500026,-0.0019829077632500026,0.0,0.0,0.0,0.00035539169671059876
5,2014-09-22,0.001973384960209903,-0.01703602510854726,0.01526116490606028,0.001973384960209903,0.001973384960209903,-0.0024408382160067623,-0.0024408382160067623,-0.0024408382160067623,-0.00034609517370831665,-0.00034609517370831665,-0.00034609517370831665,-0.0020947430422984456,-0.0020947430422984456,-0.0020947430422984456,0.0,0.0,0.0,-0.00046745325579685944
6,2014-09-23,0.001957319690460228,-0.015884518432658295,0.015054279266948016,0.001957319690460228,0.001957319690460228,-0.002579248688219526,-0.002579248688219526,-0.002579248688219526,-0.00037812922742253463,-0.00037812922742253463,-0.00037812922742253463,-0.002201119460796992,-0.002201119460796992,-0.002201119460796992,0.0,0.0,0.0,-0.0006219289977592983
7,2014-09-24,0.0019412544207105535,-0.015210976335788511,0.014505018245400849,0.0019412544207105535,0.0019412544207105535,-0.002648738202092165,-0.002648738202092165,-0.002648738202092165,-0.00035013272140053557,-0.00035013272140053557,-0.00035013272140053557,-0.0022986054806916293,-0.0022986054806916293,-0.0022986054806916293,0.0,0.0,0.0,-0.0007074837813816114
8,2014-09-25,0.0019251891509608785,-0.01535291936688589,0.014888552492568133,0.0019251891509608785,0.0019251891509608785,-0.002491512795494838,-0.002491512795494838,-0.002491512795494838,-0.00010746332920241637,-0.00010746332920241637,-0.00010746332920241637,-0.002384049466292422,-0.002384049466292422,-0.002384049466292422,0.0,0.0,0.0,-0.0005663236445339595
9,2014-09-26,0.001909123881211204,-0.015271572400953724,0.0162649565431561,0.001909123881211204,0.001909123881211204,-0.0018842015849121706,-0.0018842015849121706,-0.0018842015849121706,0.0005704791033614313,0.0005704791033614313,0.0005704791033614313,-0.0024546806882736016,-0.0024546806882736016,-0.0024546806882736016,0.0,0.0,0.0,2.4922296299033407e-05
